current_path,size_bytes,sha256,git_tracked,project,proposed_path,action
projects/precise_pni_candidate_triage/code/candidate_visualization/pilot_precise_spatial_facevalidity.py,10265,ee59b9555afede16dafb0e0bb4aa3d1c8cc64e0aec939f5e448fdcfb8aaf36f7,False,precise_pni_candidate_triage,projects/precise_pni_candidate_triage/code/candidate_visualization/pilot_precise_spatial_facevalidity.py,already_reorganized
projects/precise_pni_candidate_triage/code/contour_review/build_precise_pni_contour_review.py,64174,21d1e93db81188498218705f2c5485c6d57a2422b8d26f1d6c65e060a95b8c82,False,precise_pni_candidate_triage,projects/precise_pni_candidate_triage/code/contour_review/build_precise_pni_contour_review.py,already_reorganized
projects/precise_pni_candidate_triage/code/frozen_score_audit/audit_precise_pni_frozen_scores.py,46253,3d35a05dce99d91cc2d4de63236ff742982b896777ae5ec8bbf705eeaa8ea15a,False,precise_pni_candidate_triage,projects/precise_pni_candidate_triage/code/frozen_score_audit/audit_precise_pni_frozen_scores.py,already_reorganized
projects/precise_pni_candidate_triage/code/morphology_rereview/build_precise_pni_morphology_review.py,48026,35c8535b6e8a2e9eba45ebe6896f084f714fae2f568eafdc7ffd533d09c13ce0,False,precise_pni_candidate_triage,projects/precise_pni_candidate_triage/code/morphology_rereview/build_precise_pni_morphology_review.py,already_reorganized
projects/precise_pni_candidate_triage/docs/designs/2026-08-05-precise-pni-frozen-score-audit-design.md,8870,a119c252bf8c947bec86af6cbfd817444ceb5481924ff7d1902dcf9779c87f29,False,precise_pni_candidate_triage,projects/precise_pni_candidate_triage/docs/designs/2026-08-05-precise-pni-frozen-score-audit-design.md,already_reorganized
projects/precise_pni_candidate_triage/docs/designs/2026-08-06-precise-pni-morphology-rereview-design.md,11778,89ab3d235b14a978a53c69d50db320245aa3ff276c04ceeee34cf71ea5f9f3e3,False,precise_pni_candidate_triage,projects/precise_pni_candidate_triage/docs/designs/2026-08-06-precise-pni-morphology-rereview-design.md,already_reorganized
projects/precise_pni_candidate_triage/docs/designs/2026-08-06-precise-pni-pathologist-memo-roadmap-design.md,3138,4b7a67057f34f5e19397948b9671e4f9ddb9ba94702a1c24bc629e9eab693fc8,False,precise_pni_candidate_triage,projects/precise_pni_candidate_triage/docs/designs/2026-08-06-precise-pni-pathologist-memo-roadmap-design.md,already_reorganized
projects/precise_pni_candidate_triage/docs/pathologist_protocol/PRECISE_PNI_CONTOUR_PROTOCOL_KO.md,12501,c7a4b8485dbe2cef05ae2c76861370593ac576f57d8c662f348071d0e206978e,False,precise_pni_candidate_triage,projects/precise_pni_candidate_triage/docs/pathologist_protocol/PRECISE_PNI_CONTOUR_PROTOCOL_KO.md,already_reorganized
projects/precise_pni_candidate_triage/docs/pathologist_protocol/PRECISE_PNI_MORPHOLOGY_REREVIEW_PATHOLOGIST_MEMO_KO.md,6755,1c8889c12ff8502d3f16a360b06489ad5f57df557b0dadb90083ba6e63e4ed63,False,precise_pni_candidate_triage,projects/precise_pni_candidate_triage/docs/pathologist_protocol/PRECISE_PNI_MORPHOLOGY_REREVIEW_PATHOLOGIST_MEMO_KO.md,already_reorganized
projects/precise_pni_candidate_triage/docs/plans/2026-08-05-precise-pni-frozen-score-audit.md,14659,5190372d103999717d9894c58a855c9cb8f9125c32d3fbf4a2e2cea68e7e537a,False,precise_pni_candidate_triage,projects/precise_pni_candidate_triage/docs/plans/2026-08-05-precise-pni-frozen-score-audit.md,already_reorganized
projects/precise_pni_candidate_triage/docs/plans/2026-08-06-precise-pni-morphology-rereview.md,6138,a21b84c77e592fc2b415204b1a7e4233a38d96ad54344b480546800ffbc9735c,False,precise_pni_candidate_triage,projects/precise_pni_candidate_triage/docs/plans/2026-08-06-precise-pni-morphology-rereview.md,already_reorganized
projects/precise_pni_candidate_triage/docs/plans/2026-08-06-precise-pni-pathologist-handoff-memo.md,4140,31017899c6ab8ef2fb91383e15d0aad31b18f3b64470f61a2bd89966b5c58395,False,precise_pni_candidate_triage,projects/precise_pni_candidate_triage/docs/plans/2026-08-06-precise-pni-pathologist-handoff-memo.md,already_reorganized
projects/precise_pni_candidate_triage/docs/project_plan/11_PRECISE_PNI_PROJECT_PURPOSE_GOALS_MILESTONES_KO.md,46103,77ba5930b7bc4df09606bf909082600843dd9048832436e0a33b2b775480ac6b,False,precise_pni_candidate_triage,projects/precise_pni_candidate_triage/docs/project_plan/11_PRECISE_PNI_PROJECT_PURPOSE_GOALS_MILESTONES_KO.md,already_reorganized
projects/precise_pni_candidate_triage/docs/project_plan/PNI관련연구.md,35423,ce4c3001bfa3d624388a51b1608947ca79c03025003cc45c1c2e9d7b0712eb01,False,precise_pni_candidate_triage,projects/precise_pni_candidate_triage/docs/project_plan/PNI관련연구.md,already_reorganized
projects/precise_pni_candidate_triage/manifests/README.md,173,9452e35c8146aabb8ab72b32f85d3dbf86fcff6db18bd3e73762e978f49e56d6,False,precise_pni_candidate_triage,projects/precise_pni_candidate_triage/manifests/README.md,already_reorganized
projects/precise_pni_candidate_triage/paper/README.md,193,d0fd4942c445a3c13f323da0068322d7b28c69af8fc5a3f92dfeef05d4033226,False,precise_pni_candidate_triage,projects/precise_pni_candidate_triage/paper/README.md,already_reorganized
projects/precise_pni_candidate_triage/reports/README.md,104,31e34dfae411728ae7fe0ee02cd5ce1625ea5dc4fc8047337d1d928edb159eac,False,precise_pni_candidate_triage,projects/precise_pni_candidate_triage/reports/README.md,already_reorganized
